speaker,start_time,end_time,text
SAM,00:29:28,00:29:31,Bellows' Respite.
MATT,00:29:31,00:29:39,"""One of the finer inns you'll find in the Braving Grounds proper, but I take it if you walk that direction, you'll see the Crucible before too long."""
LAURA,00:29:39,00:29:41,Have you ever fought in the Crucible?
MATT,00:29:41,00:29:48,"""Me? No. Too busy. Too many people better fighters than me in there. I'll just stick to the mines."""
MARISHA,00:29:48,00:29:51,Are these battles to the death?
MATT,00:29:51,00:30:14,"""Nah. These are battles of honor. Death belongs in a true war. Mind you, there have been some folks unfortunately who may have fallen to a hit on the head too hard, and that's understandable. But the purpose of Kord is not necessarily to smite your foes unless they've given you damn good reason. Other than that, contest of strength is how we live."""
ORION,00:30:14,00:30:18,A friendly sparring match is what we're about.
LIAM,00:30:18,00:30:25,"That's this neighborhood of Vasselheim, not the city as a whole, just in these parts?"
MATT,00:30:25,00:30:38,"""For the most part. I mean, we have members of our community that are Bastions and guard the whole city, but we tend to keep our own--"" (off-screen crash)"
MATT,00:30:38,00:30:42,"""Pardon my friend. He's clumsy."" And the other gentleman picks up his tools and is like, ""Sorry."""
TRAVIS,00:30:42,00:30:55,"Have you been to this Crucible often, and if so, is there a champion or a favorite that you've seen or know of?"
MATT,00:30:55,00:31:06,"""We have some people come in and out. Probably best to ask around the Crucible, to be honest. I've seen some people take some serious beatings down there. I haven't kept much attention to it. I haven't the money to sling around it."""
LAURA,00:31:06,00:31:09,"The money? Wait, it costs money?"
MATT,00:31:09,00:31:17,"""What, you think there's going to be fights in a pit and no one's betting on it? Welcome to Vasselheim, my dear."""
TRAVIS,00:31:17,00:31:20,We're going to be rich!
ORION,00:31:20,00:31:23,What if there are two people fighting the town does not know?
MATT,00:31:23,00:31:26,"""I don't know. Take it up at the Crucible."""
TRAVIS,00:31:26,00:31:29,How far is the Crucible from here?
MATT,00:31:29,00:31:31,"""Keep walking. You'll see it."""
LAURA,00:31:31,00:31:35,"Keep walking? Thank you, friend."
MATT,00:31:35,00:31:40,"""My pleasure. Kord's strength to you."" And he keeps on walking."
TRAVIS,00:31:40,00:31:42,Kord's strength.
SAM,00:31:42,00:31:43,Kord's strength to you.
MATT,00:31:43,00:31:46,"No, core strength."
LAURA,00:31:46,00:31:49,Sit-ups. Crunches.
TRAVIS,00:31:49,00:31:52,Core strength to you. Namaste.
MATT,00:31:52,00:32:49,"You guys walk beyond the Trial Forge, back towards the path where you came off to the side on the left and you can see most of the buildings, their internal lighting is very low; you can see most folks either go to bed at this evening or at least keep a very low visual profile from their abodes. However, lights are blazing from the interior of this three-story inn. The Bellows' Respite is definitely a rowdy place. You can hear already the shouts and music streaming from the interior of it. You gather that, while there are a lot of people inside you can see at the windows and openings to the inside of the tavern, there is a large group gathered in the middle of the thoroughfare just outside of it. Looks like a circle of individuals that are all shouting and screaming over each other, big fist-pumps to the air, some folks are angrily throwing their coin purses to the ground."
TRAVIS,00:32:49,00:32:53,"Like a kid getting too close to an amusement park, I take off running."
MATT,00:32:53,00:33:00,"Grog starts running up, bounding up the way, you can see the actual--"
MARISHA,00:33:00,00:33:02,"Grog? Grog, not too far ahead!"
TRAVIS,00:33:02,00:33:03,Okay!
